price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
119.980 kr.;2018;108000;2018-06-01;Benzin;20.8;75;M
69.900 kr.;2010;113100;2010-09-30;Benzin;18.2;60;M
99.000 kr.;2017;160000;2017-01-01;Diesel;29.4;90;M
169.900 kr.;2019;52000;2019-08-28;Benzin;23.9;95;M
169.900 kr.;2019;36000;2019-05-22;Benzin;23.9;95;M
235.000 kr.;2018;65000;2018-08-01;Benzin;16.9;200;A
179.900 kr.;2018;53000;2018-05-01;Benzin;21.7;95;A
59.999 kr.;2012;264000;2012-08-01;Diesel;27;90;M
69.900 kr.;2011;84000;2011-11-01;Benzin;18.2;60;M
350.000 kr.;2022;3000;2022-04-27;Benzin;17.5;207;A
135.135 kr.;2016;70000;2016-04-14;Benzin;24.4;95;M
224.900 kr.;2022;8000;2021-12-21;Benzin;23.3;95;M
209.900 kr.;2019;38000;2019-05-02;Benzin;22.9;115;A
127.900 kr.;2016;105000;2016-03-22;Benzin;21.3;90;M
89.900 kr.;2013;108000;2013-04-10;Benzin;19.6;90;M
207.000 kr.;2021;38000;2021-06-18;Benzin;21.6;95;A
179.800 kr.;2019;113000;2018-04-11;Diesel;28.2;95;A
239.900 kr.;2022;4000;2022-03-09;Benzin;22;95;A
179.900 kr.;2019;51000;2019-07-08;Benzin;23.9;95;M
215.000 kr.;2019;130000;2019-06-07;Benzin;16.9;200;A
69.900 kr.;2014;147000;2013-10-01;Benzin;19.6;90;M
195.000 kr.;2018;26000;2018-02-15;Benzin;21.7;115;M
179.900 kr.;2018;61000;2018-02-28;Benzin;21.7;115;M
134.800 kr.;2017;119000;2017-03-15;Diesel;27;90;M
265.000 kr.;2022;6000;2022-05-06;Benzin;21.6;95;A
209.900 kr.;2018;42000;2018-05-09;Benzin;21.3;115;A
149.000 kr.;2016;118000;2016-01-19;Benzin;20.8;150;M
109.700 kr.;2017;148000;2017-07-03;Diesel;27;90;M
269.900 kr.;2019;41000;2019-10-03;Benzin;18;200;A
184.900 kr.;2018;64000;2017-12-22;Benzin;21.7;95;A
229.900 kr.;2021;32000;2020-12-15;Benzin;23.4;110;A
239.500 kr.;2021;11000;2021-11-04;Benzin;21.2;110;A
174.900 kr.;2020;40000;2020-02-17;Benzin;23.9;95;M
104.900 kr.;2016;137000;2015-09-25;Benzin;24.4;95;M
119.900 kr.;2015;134000;2014-05-13;Benzin;20.8;110;M
139.900 kr.;2015;52000;2014-09-17;Benzin;20.8;110;M
25.000 kr.;2005;205000;2005-05-18;Benzin;15.5;75;M
58.000 kr.;2011;255000;2011-06-01;Diesel;27;105;M
224.900 kr.;2022;11000;2021-11-25;Benzin;23.3;95;M
129.800 kr.;2017;106000;2017-01-27;Benzin;24.4;95;M
234.900 kr.;2022;15000;2022-03-07;Benzin;22;95;A
204.500 kr.;2021;19485;2020-11-12;Benzin;22.8;95;M
209.800 kr.;2021;7000;2021-08-25;Benzin;22.8;95;M
239.900 kr.;2022;11000;2021-12-17;Benzin;22;95;A
119.900 kr.;2013;135000;2013-03-21;Benzin;21.7;140;M
209.900 kr.;2020;44000;2020-10-08;Benzin;23.4;115;A
259.800 kr.;2022;6500;2021-10-15;Benzin;21.6;110;A
209.900 kr.;2020;33000;2020-01-29;Benzin;23.4;115;A
224.900 kr.;2021;8500;2021-06-21;Benzin;21.6;95;A
13.500 kr.;2003;268000;2003-10-15;Diesel;22.2;75;M
169.900 kr.;2019;27000;2019-06-26;Benzin;23.9;95;M
204.950 kr.;2019;88000;2019-03-01;Diesel;25.6;95;A
224.900 kr.;2021;29000;2021-07-01;Benzin;21.2;110;A
159.000 kr.;2019;125000;2019-04-01;Diesel;28.2;95;A
354.900 kr.;2022;1000;2022-09-01;Benzin;17.5;207;A
279.900 kr.;2022;10000;2022-11-01;Benzin;21.6;110;A
129.800 kr.;2016;57000;2016-05-31;Benzin;21.3;90;M
19.500 kr.;2002;197000;2002-04-10;Benzin;15.5;75;M
172.900 kr.;2018;74000;2018-01-30;Benzin;21.7;95;A
8.900 kr.;2000;210000;2000-07-13;Benzin;16;60;M
160.000 kr.;2017;126000;2017-01-01;Benzin;21.3;150;A
199.890 kr.;2018;16000;2018-07-31;Benzin;21.7;95;A
108.000 kr.;2015;130000;2015-01-01;Benzin;21.3;90;M
194.900 kr.;2019;36000;2019-05-24;Benzin;23.4;95;A
179.900 kr.;2018;73000;2018-06-26;Benzin;21.7;95;A
149.700 kr.;2018;36000;2018-02-19;Benzin;20.8;75;M
154.800 kr.;2018;43000;2017-11-01;Benzin;22.7;95;M
214.900 kr.;2019;53000;2019-03-27;Benzin;22.9;115;A
210.000 kr.;2020;37000;2020-11-01;Benzin;23.4;115;A
79.900 kr.;2011;129000;2011-04-01;Benzin;18.9;105;M
100.000 kr.;2016;105000;2015-10-01;Benzin;24.4;95;M
239.700 kr.;2022;13000;2022-01-26;Benzin;22;95;A
174.900 kr.;2019;49000;2019-07-30;Benzin;23.9;95;M
54.900 kr.;2013;292000;2013-06-01;Benzin;19.6;90;M
189.900 kr.;2018;50000;2017-11-23;Benzin;21.7;95;A
249.800 kr.;2019;60000;2019-07-02;Benzin;17.7;200;A
109.800 kr.;2015;125000;2015-02-16;Benzin;21.3;90;M
214.900 kr.;2021;17000;2021-07-29;Benzin;23.4;95;A
194.900 kr.;2019;38000;2018-12-27;Benzin;23.4;95;A
