price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
559.900 kr.;2022;23000;2022-03-31;Diesel;25.7;200;A
679.900 kr.;2022;17000;2022-01-28;Benzin;18.1;258;A
259.500 kr.;2018;189000;2018-01-09;Diesel;22.7;170;A
399.995 kr.;2019;98000;2018-11-29;Diesel;22.7;194;A
424.900 kr.;2020;87000;2020-01-01;Plug-in hybrid Diesel;32.2;306;A
574.900 kr.;2022;18000;2021-08-02;Diesel;26.9;200;A
464.900 kr.;2021;26000;2020-12-30;Plug-in hybrid Benzin;32.7;320;A
579.900 kr.;2022;14000;2021-12-01;Plug-in hybrid Benzin;40.6;313;A
579.900 kr.;2022;15000;2022-01-28;Plug-in hybrid Benzin;41.9;313;A
489.900 kr.;2021;21000;2020-10-20;Plug-in hybrid Benzin;31.1;320;A
389.500 kr.;2018;97000;2019-01-17;Diesel;23.4;194;A
359.900 kr.;2017;45000;2018-07-24;Benzin;17.9;184;A
117.500 kr.;2011;254000;2011-08-03;Diesel;19.6;136;A
39.990 kr.;2000;228000;2000-09-15;Benzin;10.5;129;A
379.900 kr.;2019;122000;2018-12-10;Diesel;24.4;194;A
654.900 kr.;2022;11000;2021-11-18;Diesel;23.3;265;A
589.900 kr.;2022;11000;2022-02-25;Diesel;26.9;200;A
4.180 kr.;2022;10000;2022-04-01;Plug-in hybrid Benzin;40.6;313;A
579.900 kr.;2022;7000;2022-01-31;Plug-in hybrid Benzin;41.9;313;A
499.800 kr.;2020;41000;2020-07-16;Plug-in hybrid Benzin;32.7;320;A
139.900 kr.;2013;293000;2013-12-06;Diesel;19.2;170;A
749.900 kr.;2020;41000;2019-04-16;Benzin;16.4;258;A
639.900 kr.;2022;35000;2022-01-28;Plug-in hybrid Benzin;40.6;313;A
619.900 kr.;2022;8000;2022-02-24;Diesel;25.7;200;A
649.900 kr.;2022;12000;2022-03-31;Plug-in hybrid Benzin;40.6;313;A
484.900 kr.;2017;82000;2017-04-07;Benzin;12.8;333;A
359.999 kr.;2019;86000;2018-10-30;Diesel;23.9;194;A
184.900 kr.;2012;121000;2012-05-23;Benzin;14.9;156;A
564.800 kr.;2022;13000;2021-12-14;Diesel;25.7;200;A
949.900 kr.;2022;11000;2022-04-22;Benzin;15.9;258;A
309.900 kr.;2018;129000;2018-06-04;Diesel;22.2;170;A
