price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
129.900 kr.;2015;74970;2015-10-23;Hybrid (Benzin + El);27.8;100;A
159.900 kr.;2019;67017;2019-06-18;Benzin;21.6;111;M
164.900 kr.;2019;35000;2019-01-30;Benzin;21.6;111;M
127.900 kr.;2016;97500;2017-01-18;Hybrid (Benzin + El);30.3;100;A
24.900 kr.;2008;178000;2008-03-17;Diesel;22.2;90;M
42.700 kr.;2012;191000;2011-10-03;Benzin;18.5;99;M
39.900 kr.;2009;207000;2009-04-17;Diesel;22.2;90;M
119.900 kr.;2019;163000;2019-06-24;Hybrid (Benzin + El);27;100;A
124.980 kr.;2017;112000;2017-10-11;Benzin;20.8;111;M
89.800 kr.;2012;152000;2013-05-17;Hybrid (Benzin + El);28.6;99;A
174.900 kr.;2020;21000;2020-07-07;Benzin;21.6;111;M
114.900 kr.;2015;106300;2017-11-29;Benzin;20.4;99;M
44.900 kr.;2010;187041;2010-01-04;Benzin;19.6;100;M
159.900 kr.;2019;33299;2019-04-10;Benzin;21.6;111;M
99.900 kr.;2015;57000;2016-01-15;Benzin;23.3;69;M
129.900 kr.;2017;115333;2017-08-23;Hybrid (Benzin + El);30.3;100;A
79.900 kr.;2015;146000;2016-01-14;Benzin;23.3;69;M
89.900 kr.;2015;98000;2016-02-17;Benzin;20.8;69;M
89.900 kr.;2013;154000;2013-03-01;Hybrid (Benzin + El);28.6;99;A
149.900 kr.;2019;63488;2019-02-11;Hybrid (Benzin + El);27;100;A
149.900 kr.;2019;61082;2019-02-11;Hybrid (Benzin + El);27;100;A
67.360 kr.;2016;219500;2016-05-31;Benzin;23.3;69;M
149.900 kr.;2017;92590;2018-01-03;Hybrid (Benzin + El);30.3;100;A
89.800 kr.;2016;119386;2016-08-03;Benzin;23.3;69;M
139.900 kr.;2019;99000;2019-12-02;Hybrid (Benzin + El);27;100;A
159.900 kr.;2021;10222;2021-02-04;Benzin;22.4;72;M
162.900 kr.;2019;41827;2019-04-30;Benzin;21.6;111;M
68.900 kr.;2014;197000;2014-10-24;Benzin;23.3;69;M
89.900 kr.;2016;107000;2016-07-18;Benzin;23.3;69;M
79.900 kr.;2014;141000;2014-05-27;Benzin;19.6;99;M
164.900 kr.;2020;26449;2021-05-06;Benzin;26.2;72;M
179.900 kr.;2019;16350;2019-08-30;Benzin;21.6;111;M
79.900 kr.;2013;33000;2013-07-05;Benzin;20.8;69;M
139.900 kr.;2018;98674;2018-05-02;Hybrid (Benzin + El);30.3;100;A
74.900 kr.;2011;140000;2014-06-24;Benzin;20.8;69;M
54.600 kr.;2011;179000;2011-01-01;Diesel;23.8;90;A
179.880 kr.;2019;40000;2019-04-03;Hybrid (Benzin + El);27;100;A
104.900 kr.;2015;162000;2016-06-24;Hybrid (Benzin + El);30.3;100;A
109.900 kr.;2017;125000;2016-12-19;Hybrid (Benzin + El);30.3;100;A
154.800 kr.;2018;58500;2018-08-30;Hybrid (Benzin + El);27;100;A
44.700 kr.;2011;243000;2012-07-24;Diesel;25.6;90;M
139.800 kr.;2017;58000;2017-08-09;Hybrid (Benzin + El);30.3;100;A
174.900 kr.;2019;25000;2019-10-25;Hybrid (Benzin + El);29.7;100;A
149.999 kr.;2017;42000;2017-08-24;Hybrid (Benzin + El);30.3;100;A
138.900 kr.;2018;72321;2018-08-02;Benzin;21.6;111;M
154.900 kr.;2019;37000;2019-08-20;Benzin;21.6;111;M
167.900 kr.;2019;27945;2019-04-03;Benzin;21.6;111;M
114.800 kr.;2017;56000;2017-04-12;Benzin;23.3;69;M
39.900 kr.;2006;104000;2006-12-06;Benzin;16.7;87;M
54.900 kr.;2012;179000;2012-11-28;Diesel;25.6;90;M
159.900 kr.;2019;40319;2019-06-06;Benzin;21.6;111;M
159.900 kr.;2019;47954;2019-04-26;Benzin;23.4;72;M
129.900 kr.;2017;107000;2017-11-22;Benzin;20.8;111;M
109.900 kr.;2016;97000;2016-05-02;Benzin;20.4;99;M
139.900 kr.;2020;30260;2020-08-03;Benzin;23.4;72;M
104.900 kr.;2015;154000;2016-06-23;Hybrid (Benzin + El);30.3;100;A
114.800 kr.;2017;100000;2017-03-28;Benzin;20.4;99;M
159.900 kr.;2019;56000;2018-07-25;Hybrid (Benzin + El);30.3;100;A
49.900 kr.;2012;229000;2012-10-17;Benzin;20.8;69;M
229.900 kr.;2020;31000;2020-12-14;Benzin;25.6;125;A
219.900 kr.;2022;6000;2022-01-31;Benzin;23.3;125;M
48.900 kr.;2010;141000;2010-07-15;Benzin;19.6;100;M
119.990 kr.;2017;68000;2017-05-02;Benzin;23.3;69;M
122.900 kr.;2016;101000;2016-02-03;Hybrid (Benzin + El);30.3;100;A
27.900 kr.;2006;217000;2006-10-17;Benzin;16.7;87;M
164.900 kr.;2019;32298;2019-10-30;Benzin;21.6;111;M
65.000 kr.;2011;199000;2014-01-08;Diesel;25.6;90;M
45.700 kr.;2011;178000;2011-06-01;Diesel;23.8;90;M
32.900 kr.;2008;298000;2008-07-02;Benzin;17.2;87;A
84.900 kr.;2015;122000;2015-01-14;Benzin;23.3;69;M
79.900 kr.;2015;98000;2015-02-11;Benzin;23.3;69;M
64.900 kr.;2014;168000;2014-09-16;Benzin;20.8;69;M
179.900 kr.;2019;16349;2019-12-10;Benzin;21.6;111;M
129.900 kr.;2016;93000;2016-04-27;Hybrid (Benzin + El);30.3;100;A
248.900 kr.;2022;500;2022-09-12;Hybrid (Benzin + El);29.5;116;A
54.900 kr.;2011;138900;2011-06-17;Diesel;25.6;90;M
63.900 kr.;2011;173000;2011-11-04;Benzin;18.5;99;M
144.900 kr.;2020;20000;2020-07-16;Benzin;23.4;72;M
