price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
334.900 kr.;2020;55000;2020-08-25;El;75.1;476;A;8660
369.800 kr.;2022;6000;2021-12-16;El;76.7;325;A;4600
344.890 kr.;2021;21000;2021-12-01;El;77.8;325;A;2770
359.700 kr.;2022;7200;2022-03-24;El;74.1;283;A;9000
429.900 kr.;2021;6000;2021-06-15;El;75.1;498;A;5250
408.900 kr.;2021;38000;2021-05-10;El;75.1;498;A;5210
419.900 kr.;2021;39000;2020-12-26;El;66.9;513;A;5800
419.900 kr.;2021;40000;2020-12-28;El;66.9;513;A;5800
339.800 kr.;2021;30000;2021-05-26;El;77.8;283;A;7400
429.000 kr.;2021;17000;2021-06-01;El;75.1;495;A;2100
373.980 kr.;2022;9200;2022-04-11;El;76.7;325;A;8600
359.800 kr.;2022;12000;2022-02-24;El;76.7;325;A;6400
310.000 kr.;2019;115000;2019-09-01;El;66.5;490;A;4700
409.900 kr.;2022;17000;2022-03-03;El;75.1;498;A;1250
339.900 kr.;2021;20000;2021-12-15;El;77.8;325;A;1250
389.500 kr.;2021;32000;2021-06-24;El;75.1;498;A;8381
399.900 kr.;2021;11000;2021-12-21;El;75.1;498;A;2610
329.800 kr.;2022;13000;2021-12-15;El;76.7;325;A;8230
369.700 kr.;2020;50000;2020-08-19;El;69;442;A;9400
398.900 kr.;2020;48000;2019-12-27;El;66.5;513;A;9400
419.900 kr.;2021;56000;2021-05-20;El;66.9;513;A;6000
379.000 kr.;2020;58000;2020-10-01;El;69;491;A;3000
389.900 kr.;2021;63000;2020-11-19;El;75.1;498;A;6000
373.980 kr.;2022;18500;2022-04-05;El;76.7;325;A;8600
354.800 kr.;2022;10000;2022-02-01;El;76.7;325;A;2770
354.800 kr.;2022;11000;2022-03-15;El;76.7;325;A;4100
424.800 kr.;2021;22000;2021-12-06;El;75.1;498;A;8700
399.900 kr.;2020;45000;2020-01-23;El;66.5;513;A;8600
409.800 kr.;2021;14000;2021-05-28;El;75.1;498;A;2605
299.900 kr.;2019;130000;2019-07-08;El;69;476;A;8240
399.990 kr.;2021;34000;2021-09-01;El;66.9;513;A;2791
299.900 kr.;2020;130000;2019-12-17;El;69;491;A;8210
329.800 kr.;2020;60000;2020-06-10;El;69;498;A;4700
269.900 kr.;2019;73000;2019-09-26;El;74.1;306;A;2605
339.800 kr.;2021;8600;2021-12-15;El;77.8;325;A;6270
409.900 kr.;2020;38000;2020-09-18;El;69;498;A;9900
359.900 kr.;2020;39000;2020-08-20;El;75.1;476;A;8660
428.900 kr.;2021;44000;2021-03-03;El;66.9;513;A;8600
428.800 kr.;2022;3500;2021-12-03;El;75.1;498;A;2670
349.800 kr.;2021;20000;2021-06-11;El;77.8;325;A;9440
415.000 kr.;2021;13220;2021-04-20;El;66.9;513;A;9000
400.000 kr.;2021;47000;2021-06-01;El;75.1;498;A;8541
345.000 kr.;2022;18000;2022-03-01;El;76.7;325;A;8960
344.980 kr.;2021;41000;2021-03-10;El;77.8;325;A;4200
279.900 kr.;2019;77000;2019-09-17;El;74.1;306;A;4200
349.900 kr.;2020;53900;2019-12-17;El;69;491;A;2670
419.900 kr.;2021;11000;2021-11-24;El;66.9;513;A;7000
